"MgmtID","StandID","Year","RmvCode","Age","Tpa","TPrdTpa","BA","SDI","CCF","TopHt","QMD","MCuFt","TPrdMCuFt","SCuFt","TPrdSCuFt","SBdFt","TPrdSBdFt","RTpa","RMCuFt","RSCuFt","RSBdFt","PrdLen","Acc","Mort","MAI","ForTyp","SizeCls","StkCls","RunTitle","CaseID"
"A009","360204104669","2009","0",98,19039.869140625,19039.869140625,135.070678710938,251,281,68,1.14047145843506,2823.63037109375,2823.63037109375,1982.27270507812,1982.27270507812,11923.2216796875,11923.2216796875,0,0,0,0,1,32.8676681518555,2.29924416542053,28.8163261413574,"801","1","2","ByPlotYearly","7f5bce33-272c-43a3-b280-305e30613a0c"
"A009","360204104669","2010","0",99,21277.353515625,21277.353515625,136.934020996094,258,285,68,1.08625769615173,2854.19873046875,2854.19873046875,2040.21691894531,2040.21691894531,12331.080078125,12331.080078125,0,0,0,0,1,32.1191101074219,3.25260782241821,28.8282833099365,"801","1","2","ByPlotYearly","7f5bce33-272c-43a3-b280-305e30613a0c"
"A009","360204104669","2011","0",100,23395.298828125,23395.298828125,139.070861816406,268,290,69,1.04397332668304,2883.06567382812,2883.06567382812,2063.20849609375,2063.20849609375,12534.26953125,12534.26953125,0,0,0,0,1,33.1002426147461,4.75854730606079,28.8299999237061,"801","1","2","ByPlotYearly","7f5bce33-272c-43a3-b280-305e30613a0c"
"A009","360204104669","2012","0",101,25314.568359375,25314.568359375,141.684860229492,280,297,69,1.01300585269928,2911.4072265625,2911.4072265625,2086.81518554688,2086.81518554688,12776.5703125,12776.5703125,0,0,0,0,1,32.2616500854492,7.86528396606445,28.8217830657959,"801","1","2","ByPlotYearly","7f5bce33-272c-43a3-b280-305e30613a0c"
"A009","360204104669","2013","0",102,26834.232421875,26834.232421875,144.813201904297,297,307,69,0.994707822799683,2935.8037109375,2935.8037109375,2108.3203125,2108.3203125,12906.98046875,12906.98046875,0,0,0,0,1,31.5400314331055,13.3084545135498,28.7843132019043,"801","1","2","ByPlotYearly","7f5bce33-272c-43a3-b280-305e30613a0c"
"A009","360204104669","2014","0",103,27645.6171875,27645.6171875,147.759994506836,312,317,69,0.989923655986786,2954.03540039062,2954.03540039062,2125.134765625,2125.134765625,13023.4814453125,13023.4814453125,0,0,0,0,1,32.9171409606934,20.4945812225342,28.6796112060547,"801","1","2","ByPlotYearly","7f5bce33-272c-43a3-b280-305e30613a0c"
"A009","360204104669","2015","0",104,27533.423828125,27533.423828125,150.278625488281,326,325,70,1.00035500526428,2966.4580078125,2966.4580078125,2140.15014648438,2140.15014648438,13042.0048828125,13042.0048828125,0,0,0,0,1,32.4031143188477,26.9058513641357,28.519229888916,"801","1","2","ByPlotYearly","7f5bce33-272c-43a3-b280-305e30613a0c"
"A009","360204104669","2016","0",105,26686.705078125,26686.705078125,151.947158813477,336,331,70,1.02172517776489,2971.955078125,2971.955078125,2151.24609375,2151.24609375,13188.0263671875,13188.0263671875,0,0,0,0,1,29.4916839599609,31.2070369720459,28.3047618865967,"801","1","2","ByPlotYearly","7f5bce33-272c-43a3-b280-305e30613a0c"
"A009","360204104669","2017","0",106,25474.888671875,25474.888671875,152.968811035156,344,335,70,1.04925417900085,2969.06591796875,2969.06591796875,2196.1962890625,2196.1962890625,13437.15625,13437.15625,0,0,0,0,1,30.9897842407227,12.1189413070679,28.0094337463379,"801","1","2","ByPlotYearly","7f5bce33-272c-43a3-b280-305e30613a0c"
"A009","360204104669","2018","0",107,26497.24609375,26497.24609375,157.337265014648,363,351,71,1.0434023141861,2987.93701171875,2987.93701171875,2216.23608398438,2216.23608398438,13461.0107421875,13461.0107421875,0,0,0,0,1,59.4596290588379,23.8931083679199,27.9252338409424,"801","1","2","ByPlotYearly","7f5bce33-272c-43a3-b280-305e30613a0c"
