"","CaseID","StandID","Year","abgCMgha","Belowground_Live","Standing_Dead","Belowground_Dead","Forest_Down_Dead_Wood","Age","Tpa","BA","SDI","TopHt"
"46","102a0050-54a5-44b2-aae8-f34a6c7d9003","374002680489998",2103,35.5745468139648,8.37877559661865,0.85763680934906,0.319427281618118,1.58819985389709,86,103.059860229492,124.275894165039,190,87
"47","102a0050-54a5-44b2-aae8-f34a6c7d9003","374002680489998",2113,39.2692680358887,9.18771934509277,1.07009029388428,0.386592984199524,1.78472101688385,96,99.9139938354492,133.659088134766,201,90
"48","1b2543e2-f409-4ed6-a545-df70c1e9cdcc","221353858010661",2011,6.10840225219727,1.2374449968338,0,0,4.66499996185303,0,30.9982814788818,18.5549793243408,32,61
"49","1b2543e2-f409-4ed6-a545-df70c1e9cdcc","221353858010661",2021,8.40039920806885,1.66146552562714,0.056928526610136,0.0162266027182341,2.33910441398621,10,30.1042156219482,23.8347835540771,39,70
"50","1b2543e2-f409-4ed6-a545-df70c1e9cdcc","221353858010661",2023,8.79514980316162,1.74895882606506,0.0601565390825272,0.0206733047962189,2.24901938438416,12,29.9255695343018,24.8816204071045,41,71
"51","1b2543e2-f409-4ed6-a545-df70c1e9cdcc","221353858010661",2033,11.1451206207275,2.18555164337158,0.148822501301765,0.0451718792319298,1.48046565055847,22,29.0453510284424,29.9077072143555,47,79
"52","1b2543e2-f409-4ed6-a545-df70c1e9cdcc","221353858010661",2043,13.4984531402588,2.61926078796387,0.257198959589005,0.0769040435552597,1.20076858997345,32,28.1782360076904,34.6215744018555,53,85
"53","1b2543e2-f409-4ed6-a545-df70c1e9cdcc","221353858010661",2053,15.7733345031738,3.0328688621521,0.402339369058609,0.115653470158577,1.08362770080566,42,27.325138092041,38.8935928344727,58,91
"54","1b2543e2-f409-4ed6-a545-df70c1e9cdcc","221353858010661",2063,17.9173316955566,3.42314958572388,0.583253920078278,0.161629408597946,1.09264504909515,52,26.486967086792,42.7331504821777,62,95
"55","1b2543e2-f409-4ed6-a545-df70c1e9cdcc","221353858010661",2073,19.9098262786865,3.78635382652283,0.795629978179932,0.213486358523369,1.15718710422516,62,25.6642093658447,46.1460456848145,66,100
"56","1b2543e2-f409-4ed6-a545-df70c1e9cdcc","221353858010661",2083,21.7473945617676,4.12237310409546,1.00572669506073,0.267467767000198,1.30143916606903,72,24.8572406768799,49.1631469726562,69,103
"57","1b2543e2-f409-4ed6-a545-df70c1e9cdcc","221353858010661",2093,23.4282112121582,4.43390321731567,1.18424808979034,0.319846510887146,1.54051649570465,82,24.0667285919189,51.8379554748535,71,106
"58","1b2543e2-f409-4ed6-a545-df70c1e9cdcc","221353858010661",2103,24.9935970306396,4.72554016113281,1.33119010925293,0.368876606225967,1.75038290023804,92,23.2932205200195,54.226016998291,74,109
"59","1b2543e2-f409-4ed6-a545-df70c1e9cdcc","221353858010661",2113,26.4458236694336,4.99870824813843,1.45949137210846,0.414377093315125,1.98115837574005,102,22.5372409820557,56.3647880554199,75,112
"60","1b793a07-90b0-420f-a002-245517f04b6d","74373939010538",2006,5.9262056350708,1.69950187206268,0,0,4.31999969482422,0,169.558013916016,31.2546844482422,62,46
"61","1b793a07-90b0-420f-a002-245517f04b6d","74373939010538",2016,8.73578834533691,2.41834402084351,0.0373550690710545,0.0130093013867736,2.20085072517395,10,164.905624389648,44.0576629638672,85,52
"62","1b793a07-90b0-420f-a002-245517f04b6d","74373939010538",2023,11.0278491973877,2.97915244102478,0.0598323494195938,0.0282600708305836,1.93021512031555,17,161.677185058594,53.4405708312988,101,56
"63","1b793a07-90b0-420f-a002-245517f04b6d","74373939010538",2033,14.893009185791,3.81290435791016,0.132819712162018,0.0565504431724548,1.52838230133057,27,157.13330078125,66.5882720947266,122,62
"64","1b793a07-90b0-420f-a002-245517f04b6d","74373939010538",2043,18.9153213500977,4.68640947341919,0.230911582708359,0.0931601971387863,1.42383718490601,37,152.663391113281,79.6001586914062,141,67
"65","1b793a07-90b0-420f-a002-245517f04b6d","74373939010538",2053,23.0321216583252,5.56989002227783,0.350203096866608,0.136890888214111,1.38585603237152,47,148.2705078125,92.1234436035156,158,72
"66","1b793a07-90b0-420f-a002-245517f04b6d","74373939010538",2063,27.3296756744385,6.47445344924927,0.483352184295654,0.186649218201637,1.42282581329346,57,143.958267211914,104.431159973145,175,76
"67","1b793a07-90b0-420f-a002-245517f04b6d","74373939010538",2073,31.7440567016602,7.39978981018066,0.639187932014465,0.241932839155197,1.52944612503052,67,139.726989746094,116.585166931152,191,80
"68","1b793a07-90b0-420f-a002-245517f04b6d","74373939010538",2083,36.1874084472656,8.32457542419434,0.822636127471924,0.304460614919662,1.67618083953857,77,135.576812744141,128.31428527832,205,83
"69","1b793a07-90b0-420f-a002-245517f04b6d","74373939010538",2093,40.6157112121582,9.25422859191895,1.04018497467041,0.375207394361496,1.87560200691223,87,131.508834838867,139.730224609375,219,86
"70","1b793a07-90b0-420f-a002-245517f04b6d","74373939010538",2103,44.9574165344238,10.168493270874,1.30627155303955,0.456745743751526,2.13865327835083,97,127.523223876953,150.604187011719,232,89
"71","1b793a07-90b0-420f-a002-245517f04b6d","74373939010538",2113,49.1667251586914,11.0688943862915,1.61028230190277,0.551166474819183,2.38485193252563,107,123.621116638184,161.002487182617,243,92
"72","269b9677-9957-4b6b-a065-48f68ad7934b","168262746020004",2014,6.46421670913696,1.66166698932648,0,0,4.31999969482422,0,62.9099731445312,26.9926834106445,45,50
"73","269b9677-9957-4b6b-a065-48f68ad7934b","168262746020004",2023,8.25966548919678,2.07738161087036,0.0170233175158501,0.00515192979946733,2.2812647819519,9,61.2946891784668,33.0050277709961,55,57
"74","269b9677-9957-4b6b-a065-48f68ad7934b","168262746020004",2033,10.4540920257568,2.58769679069519,0.0386264771223068,0.0128356087952852,1.56114840507507,19,59.528923034668,40.1757659912109,65,64
"75","269b9677-9957-4b6b-a065-48f68ad7934b","168262746020004",2043,12.8598079681396,3.13467574119568,0.0713198184967041,0.0253398437052965,1.230912566185,29,57.793212890625,47.5704727172852,75,70
"76","269b9677-9957-4b6b-a065-48f68ad7934b","168262746020004",2053,15.485050201416,3.69824504852295,0.12069907784462,0.0438338592648506,1.05643308162689,39,56.0890159606934,54.8199424743652,85,75
"77","269b9677-9957-4b6b-a065-48f68ad7934b","168262746020004",2063,18.1725273132324,4.26730728149414,0.19328673183918,0.067828543484211,0.959763050079346,49,54.4177551269531,61.8158874511719,93,80
"78","269b9677-9957-4b6b-a065-48f68ad7934b","168262746020004",2073,20.8651809692383,4.8372220993042,0.285870671272278,0.0966561287641525,0.938277006149292,59,52.780574798584,68.5513381958008,101,84
"79","269b9677-9957-4b6b-a065-48f68ad7934b","168262746020004",2083,23.5666980743408,5.40152311325073,0.390272855758667,0.130036145448685,0.960656225681305,69,51.1777572631836,74.9830474853516,109,88
"80","269b9677-9957-4b6b-a065-48f68ad7934b","168262746020004",2093,26.2120933532715,5.95185518264771,0.517723321914673,0.169448599219322,1.03526318073273,79,49.6093444824219,81.058464050293,116,92
"81","269b9677-9957-4b6b-a065-48f68ad7934b","168262746020004",2103,28.7519989013672,6.48105764389038,0.678458333015442,0.217081665992737,1.14022386074066,89,48.0752258300781,86.7009582519531,122,96
