"MgmtID","StandID","Year","Aboveground_Total_Live","Belowground_Live","Belowground_Dead","Standing_Dead","Forest_Down_Dead_Wood","Forest_Floor","Forest_Shrub_Herb","Total_Stand_Carbon","RunTitle","CaseID"
"Grow","230101701013","2060",114.213920593262,29.8201522827148,5.85279083251953,9.24533081054688,17.6238384246826,18.5327053070068,0.694908857345581,195.983642578125,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
"Grow","230101701013","2065",115.023780822754,30.071439743042,6.00332021713257,8.91454219818115,18.1579341888428,18.7057342529297,0.694908857345581,197.571655273438,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
"Grow","230101701013","2070",115.827209472656,30.3213367462158,6.09630107879639,8.72612953186035,18.4825553894043,18.8792324066162,0.694908857345581,199.027679443359,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
"Grow","230101701013","2075",116.872886657715,30.5723133087158,6.13291168212891,8.52824211120605,18.5999794006348,19.0531597137451,0.694908857345581,200.454406738281,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
"Grow","230101701013","2080",117.886589050293,30.828197479248,6.14240884780884,8.5663366317749,18.4828662872314,19.2247066497803,0.694908857345581,201.82600402832,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
"Grow","230101701013","2085",118.842567443848,31.0857467651367,6.13645935058594,8.55174446105957,18.4371147155762,19.3945255279541,0.694908857345581,203.143081665039,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
"Grow","230101701013","2090",119.605476379395,31.3491668701172,6.1199517250061,8.46952438354492,18.6702899932861,19.5638389587402,0.694908857345581,204.473175048828,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
"Grow","230101701013","2095",120.679328918457,31.6112861633301,6.07777452468872,8.32170486450195,18.8544368743896,19.7349700927734,0.694908857345581,205.974411010742,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
"Grow","230101701013","2100",122.420822143555,31.8755855560303,6.01607894897461,8.18436431884766,18.7833652496338,19.9045486450195,0.694908857345581,207.879699707031,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
"Grow","230101701013","2105",124.363800048828,32.1398773193359,5.95577049255371,8.28957748413086,18.5279140472412,20.07297706604,0.694908857345581,210.044830322266,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
"Grow","230101701013","2110",125.871604919434,32.3957633972168,5.89117860794067,8.37803554534912,18.3333072662354,20.2407207489014,0.694908857345581,211.805526733398,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
"Grow","230101701013","2115",127.199630737305,32.6468963623047,5.83051204681396,8.41322326660156,18.2196750640869,20.4063339233398,0.694908857345581,213.411193847656,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
"Grow","230101701013","2120",128.367340087891,32.8901901245117,5.76541233062744,8.41215133666992,18.2474975585938,20.5718212127686,0.694908857345581,214.949340820312,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
"Grow","230101701013","2125",129.516983032227,33.1279296875,5.69632959365845,8.3871545791626,18.2053241729736,20.736328125,0.694908857345581,216.364974975586,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
"Grow","230101701013","2130",130.611251831055,33.3586235046387,5.62670707702637,8.35170650482178,18.2243041992188,20.9003639221191,0.694908857345581,217.767868041992,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
"Grow","230101701013","2135",131.598037719727,33.5868530273438,5.5589804649353,8.32809257507324,18.2252559661865,21.0636749267578,0.694908857345581,219.055801391602,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
"Grow","230101701013","2140",132.526641845703,33.8083992004395,5.49684190750122,8.30835342407227,18.1972122192383,21.2271404266357,0.694908857345581,220.259506225586,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
"Grow","230101701013","2145",133.313354492188,34.0229263305664,5.43602991104126,8.28370475769043,18.2344932556152,21.390251159668,0.694908857345581,221.375671386719,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
"Grow","230101701013","2150",134.223190307617,34.2308044433594,5.38049745559692,8.25784873962402,18.2609939575195,21.5531024932861,0.694908857345581,222.601348876953,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
"Grow","230101701013","2155",135.107727050781,34.4283218383789,5.32396125793457,8.21776103973389,18.2641735076904,21.7160320281982,0.694908857345581,223.752883911133,"AllPlots","09faf832-9b47-4c47-a6eb-8a33d8eab250"
