"PLT_CN","SHORT","PLOT","SUBP","INVYR","TREE","SPCD","DIA","HT","TPA_UNADJ","agb_gm2","topSICOND","topSTDAGE","gesp","H_assigned","b1","b2","b3","b4","b5","calc_age","calcAgeCut","ageBin","ageBinAdj"
"52932795010538","0023200105030702501505",1505,4,2001,6,318,11.6,70,6.018046,742.845019614046,44,94,"ACSA",70,3.3721,0.8407,-0.015,2.6208,-0.2661,129,"(125,175]",175,175
"52932795010538","0023200105030702501505",1505,4,2001,7,318,5.6,53,6.018046,92.5139442182717,44,94,"ACSA",53,3.3721,0.8407,-0.015,2.6208,-0.2661,68,"(50,75]",75,75
"52932795010538","0023200105030702501505",1505,4,2001,8,97,10.1,65,6.018046,295.380162455295,44,94,"PIRU",65,1.3307,1.0442,-0.0496,3.5829,0.0945,89,"(75,100]",100,100
"52932795010538","0023200105030702501505",1505,4,2001,9,318,5.6,45,6.018046,92.5139442182717,44,94,"ACSA",45,3.3721,0.8407,-0.015,2.6208,-0.2661,52,"(50,75]",75,75
"52932795010538","0023200105030702501505",1505,4,2001,12,318,1.8,17,74.965282,79.0466766496465,44,94,"ACSA",17,3.3721,0.8407,-0.015,2.6208,-0.2661,14,"(10,25]",25,25
"52886246010538","0023200105030901700852",852,1,2001,1,371,3.6,NA,74.965282,391.822545857257,37,81,"BEAL",4,2.2835,0.9794,-0.0054,0.5819,-0.0281,1,"(0,10]",10,10
"52886246010538","0023200105030901700852",852,1,2001,2,371,7.6,38,6.018046,212.62801084211,37,81,"BEAL",38,2.2835,0.9794,-0.0054,0.5819,-0.0281,54,"(50,75]",75,75
"52886246010538","0023200105030901700852",852,1,2001,3,371,7.1,35,6.018046,177.740584279754,37,81,"BEAL",35,2.2835,0.9794,-0.0054,0.5819,-0.0281,45,"(25,50]",50,50
"52886246010538","0023200105030901700852",852,1,2001,4,371,5.6,36,6.018046,87.2493089121272,37,81,"BEAL",36,2.2835,0.9794,-0.0054,0.5819,-0.0281,48,"(25,50]",50,50
"52886246010538","0023200105030901700852",852,1,2001,5,371,5.3,32,6.018046,71.3821042140127,37,81,"BEAL",32,2.2835,0.9794,-0.0054,0.5819,-0.0281,37,"(25,50]",50,50
"52886246010538","0023200105030901700852",852,1,2001,6,371,5.8,35,6.018046,93.341691729868,37,81,"BEAL",35,2.2835,0.9794,-0.0054,0.5819,-0.0281,45,"(25,50]",50,50
"52886246010538","0023200105030901700852",852,2,2001,1,371,34.5,42,6.018046,6892.58165489628,37,81,"BEAL",42,2.2835,0.9794,-0.0054,0.5819,-0.0281,67,"(50,75]",75,75
"52886246010538","0023200105030901700852",852,2,2001,2,12,10.8,46,6.018046,278.42604665496,37,81,"ABBA",46,2.077,0.9303,-0.0285,2.8937,-0.1414,69,"(50,75]",75,75
"52886246010538","0023200105030901700852",852,2,2001,3,12,8.4,31,6.018046,140.551351011282,37,81,"ABBA",31,2.077,0.9303,-0.0285,2.8937,-0.1414,41,"(25,50]",50,50
"52886246010538","0023200105030901700852",852,2,2001,4,375,9.2,34,6.018046,331.737203041114,37,81,"BEPA",34,1.7902,0.9522,-0.0173,1.1668,-0.1206,42,"(25,50]",50,50
"52886246010538","0023200105030901700852",852,3,2001,1,375,5.6,31,6.018046,78.6495177480201,37,81,"BEPA",31,1.7902,0.9522,-0.0173,1.1668,-0.1206,36,"(25,50]",50,50
"52886246010538","0023200105030901700852",852,3,2001,2,375,8.1,33,6.018046,236.969376322078,37,81,"BEPA",33,1.7902,0.9522,-0.0173,1.1668,-0.1206,40,"(25,50]",50,50
"52886246010538","0023200105030901700852",852,3,2001,3,97,6.2,32,6.018046,74.1220806723319,37,81,"PIRU",32,1.3307,1.0442,-0.0496,3.5829,0.0945,44,"(25,50]",50,50
"52886246010538","0023200105030901700852",852,3,2001,7,12,6.6,25,6.018046,81.5623297419956,37,81,"ABBA",25,2.077,0.9303,-0.0285,2.8937,-0.1414,33,"(25,50]",50,50
"52886246010538","0023200105030901700852",852,3,2001,4,12,16.4,62,6.018046,807.817822573525,37,81,"ABBA",62,2.077,0.9303,-0.0285,2.8937,-0.1414,163,"(125,175]",175,175
"52886246010538","0023200105030901700852",852,3,2001,5,12,5.5,15,6.018046,41.4835572097168,37,81,"ABBA",15,2.077,0.9303,-0.0285,2.8937,-0.1414,21,"(10,25]",25,25
"52886246010538","0023200105030901700852",852,3,2001,9,97,8,35,6.018046,156.902518143348,37,81,"PIRU",35,1.3307,1.0442,-0.0496,3.5829,0.0945,48,"(25,50]",50,50
"52886246010538","0023200105030901700852",852,3,2001,10,12,9.5,34,6.018046,213.287969672352,37,81,"ABBA",34,2.077,0.9303,-0.0285,2.8937,-0.1414,45,"(25,50]",50,50
"52886246010538","0023200105030901700852",852,3,2001,11,97,7.1,30,6.018046,106.14033481381,37,81,"PIRU",30,1.3307,1.0442,-0.0496,3.5829,0.0945,42,"(25,50]",50,50
"52886246010538","0023200105030901700852",852,4,2001,1,12,8.3,33,6.018046,143.401505654802,37,81,"ABBA",33,2.077,0.9303,-0.0285,2.8937,-0.1414,43,"(25,50]",50,50
"52886246010538","0023200105030901700852",852,4,2001,2,12,11.7,55,6.018046,358.947993217221,37,81,"ABBA",55,2.077,0.9303,-0.0285,2.8937,-0.1414,108,"(100,125]",125,125
"52886246010538","0023200105030901700852",852,4,2001,4,97,8.6,40,6.018046,176.651390558587,37,81,"PIRU",40,1.3307,1.0442,-0.0496,3.5829,0.0945,54,"(50,75]",75,75
"52886246010538","0023200105030901700852",852,4,2001,5,12,7.9,38,6.018046,132.885930756192,37,81,"ABBA",38,2.077,0.9303,-0.0285,2.8937,-0.1414,52,"(50,75]",75,75
"52886246010538","0023200105030901700852",852,4,2001,6,12,11.8,51,6.018046,351.608849866792,37,81,"ABBA",51,2.077,0.9303,-0.0285,2.8937,-0.1414,86,"(75,100]",100,100
"52886246010538","0023200105030901700852",852,4,2001,7,12,11.8,65,6.018046,360.601522651877,37,81,"ABBA",65,2.077,0.9303,-0.0285,2.8937,-0.1414,163,"(125,175]",175,175
"52886246010538","0023200105030901700852",852,4,2001,8,12,6.9,30,6.018046,84.1550098249872,37,81,"ABBA",30,2.077,0.9303,-0.0285,2.8937,-0.1414,39,"(25,50]",50,50
"52886246010538","0023200105030901700852",852,4,2001,9,12,9.8,36,6.018046,223.138846473369,37,81,"ABBA",36,2.077,0.9303,-0.0285,2.8937,-0.1414,48,"(25,50]",50,50
"52886246010538","0023200105030901700852",852,4,2001,10,375,14.9,45,6.018046,1029.55661958961,37,81,"BEPA",45,1.7902,0.9522,-0.0173,1.1668,-0.1206,81,"(75,100]",100,100
"52886246010538","0023200105030901700852",852,4,2001,11,375,16.9,55,6.018046,1423.78104647384,37,81,"BEPA",55,1.7902,0.9522,-0.0173,1.1668,-0.1206,234,"(175,285]",175,145
"52886246010538","0023200105030901700852",852,4,2001,12,12,9,41,6.018046,179.58013771509,37,81,"ABBA",41,2.077,0.9303,-0.0285,2.8937,-0.1414,57,"(50,75]",75,75
"52882700010538","0023200105030901701013",1013,1,2001,4,371,25.3,48,6.018046,3584.45833642498,41,96,"BEAL",48,2.2835,0.9794,-0.0054,0.5819,-0.0281,72,"(50,75]",75,75
"52882700010538","0023200105030901701013",1013,1,2001,5,371,12.2,49,6.018046,717.784024784556,41,96,"BEAL",49,2.2835,0.9794,-0.0054,0.5819,-0.0281,76,"(75,100]",100,100
"52882700010538","0023200105030901701013",1013,1,2001,7,371,24.7,53,6.018046,3577.14494943444,41,96,"BEAL",53,2.2835,0.9794,-0.0054,0.5819,-0.0281,92,"(75,100]",100,100
"52882700010538","0023200105030901701013",1013,1,2001,24,375,7.1,44,6.018046,164.630911430237,41,96,"BEPA",44,1.7902,0.9522,-0.0173,1.1668,-0.1206,59,"(50,75]",75,75
